"Plot Title: HOBO 1A Chamber 1"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10561439, SEN S/N: 10561439)","RH, % (LGR S/N: 10561439, SEN S/N: 10561439)","DewPt, °C (LGR S/N: 10561439, SEN S/N: 10561439)","Button Down (LGR S/N: 10561439, SEN S/N: 10561439)","Button Up (LGR S/N: 10561439, SEN S/N: 10561439)","Stopped (LGR S/N: 10561439, SEN S/N: 10561439)","End Of File (LGR S/N: 10561439, SEN S/N: 10561439)"
87,07/21/2014 09:56:00 AM,22.757,68.659,16.718,,,,
88,07/21/2014 09:57:00 AM,22.757,68.600,16.704,,,,
89,07/21/2014 09:58:00 AM,22.781,68.426,16.687,,,,
90,07/21/2014 09:59:00 AM,22.757,68.421,16.663,,,,
91,07/21/2014 10:00:00 AM,22.757,68.273,16.629,,,,
92,07/21/2014 10:01:00 AM,22.757,68.392,16.656,,,,
93,07/21/2014 10:02:00 AM,22.733,68.030,16.550,,,,
94,07/21/2014 10:03:00 AM,22.733,68.447,16.646,,,,
95,07/21/2014 10:04:00 AM,22.733,64.345,15.676,,,,
96,07/21/2014 10:05:00 AM,22.709,67.520,16.408,,,,
97,07/21/2014 10:06:00 AM,22.685,68.706,16.660,,,,
98,07/21/2014 10:07:00 AM,22.637,63.755,15.441,,,,
99,07/21/2014 10:08:00 AM,22.493,61.943,14.856,,,,
100,07/21/2014 10:09:00 AM,22.541,61.647,14.827,,,,
101,07/21/2014 10:10:00 AM,22.421,65.285,15.607,,,,
102,07/21/2014 10:11:00 AM,22.326,68.848,16.349,,,,
103,07/21/2014 10:12:00 AM,22.326,70.002,16.610,,,,
104,07/21/2014 10:13:00 AM,22.373,68.382,16.288,,,,
105,07/21/2014 10:14:00 AM,22.421,69.221,16.526,,,,
106,07/21/2014 10:15:00 AM,22.445,69.433,16.597,,,,
107,07/21/2014 10:16:00 AM,22.517,69.830,16.755,,,,
108,07/21/2014 10:17:00 AM,22.565,69.543,16.736,,,,
109,07/21/2014 10:18:00 AM,22.637,69.201,16.727,,,,
110,07/21/2014 10:19:00 AM,22.685,69.269,16.789,,,,
111,07/21/2014 10:20:00 AM,22.709,68.829,16.711,,,,
112,07/21/2014 10:21:00 AM,22.733,68.744,16.714,,,,
113,07/21/2014 10:22:00 AM,22.757,66.482,16.211,,,,
